"Container","ProductName","TotalValueSold","TotalQuantitySold","TotalKgSold","AveragePrice","HighestPrice","Date"
"15KG CARTON TELESCOPIC","MIDKNIGHT,CL 1,*,48,*",12870,143,2145,90,90,"2014-12-10"
"15KG CARTON TELESCOPIC","MIDKNIGHT,CL 1,*,56,*",6210,69,1035,90,90,"2014-12-10"
"15KG CARTON TELESCOPIC","MIDKNIGHT,CL 1,*,64,*",11160,124,1860,90,90,"2014-12-10"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,64,*",14400,160,2400,90,90,"2014-12-10"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,64,*",3960,44,660,90,90,"2014-12-10"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,48,*",28250,310,4650,91.13,95,"2014-12-10"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,48,*",13850,150,2250,92.33,95,"2014-12-10"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,56,*",8400,90,1350,93.33,95,"2014-12-10"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,56,*",190,2,30,95,95,"2014-12-10"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,125,*",200,2,30,100,100,"2014-12-10"
"1.5KG POCKET","NAVEL,CL 1,L,*,*",5120,64,96,80,80,"2014-12-10"
"6KG POCKET","VALENCIA,CL 2,S,*,*",2016,112,672,18,18,"2014-12-11"
"6KG POCKET","NAVEL,CL 2,L,*,*",31318,1431,8586,21.89,28,"2014-12-11"
"6KG POCKET","VALENCIA,CL 2,M,*,*",11948,468,2808,25.53,26,"2014-12-11"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,125,*",5560,81,1215,68.64,70,"2014-12-11"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,105,*",7910,113,1695,70,70,"2014-12-11"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,105,*",40472,575,8625,70.39,88,"2014-12-11"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,88,*",98838,1289,19335,76.68,90,"2014-12-11"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,88,*",33650,430,6450,78.26,80,"2014-12-11"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,72,*",17600,223,3345,78.92,95,"2014-12-11"
"15KG CARTON TELESCOPIC","CARA CARA NAVEL,CL 1,*,105,*",160,2,30,80,80,"2014-12-11"
"2KG POCKET","VALENCIA,CL 1,M,*,*",2040,180,360,11.33,55,"2014-12-11"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,72,*",1380,16,240,86.25,100,"2014-12-11"
"15KG CARTON TELESCOPIC","MIDKNIGHT,CL 1,*,72,*",2050,23,345,89.13,100,"2014-12-11"
"15KG CARTON TELESCOPIC","DELTA SEEDLESS,CL 1,*,64,*",90,1,15,90,90,"2014-12-11"
"15KG CARTON TELESCOPIC","MIDKNIGHT,CL 1,*,40,*",12600,140,2100,90,90,"2014-12-11"
"15KG CARTON TELESCOPIC","MIDKNIGHT,CL 1,*,48,*",12870,143,2145,90,90,"2014-12-11"
"15KG CARTON TELESCOPIC","MIDKNIGHT,CL 1,*,56,*",6210,69,1035,90,90,"2014-12-11"
"15KG CARTON TELESCOPIC","MIDKNIGHT,CL 1,*,64,*",11160,124,1860,90,90,"2014-12-11"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,64,*",14400,160,2400,90,90,"2014-12-11"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,64,*",3960,44,660,90,90,"2014-12-11"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,48,*",28250,310,4650,91.13,95,"2014-12-11"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,48,*",13850,150,2250,92.33,95,"2014-12-11"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,56,*",8400,90,1350,93.33,95,"2014-12-11"
