"Container","ProductName","TotalValueSold","TotalQuantitySold","TotalKgSold","AveragePrice","HighestPrice","Date"
"4KG TRAY","HEIDI,*,S,*,*",600,"10.00","40.00",60,60,2015-01-20
"4KG TRAY","KENT,*,L,*,*",630,"18.00","72.00",35,35,2015-01-20
"4KG TRAY","LONG GREEN,*,L,*,*",3365,"109.00","436.00",30.87,40,2015-01-20
"4KG TRAY","PEACH,*,L,*,*",740,"23.00","92.00",32.17,40,2015-01-20
"4KG TRAY","SABRE,*,L,*,*",600,"33.00","132.00",18.18,20,2015-01-20
"4KG TRAY","TOMMY ATKINS,*,*,10,*",9237,"417.00","1668.00",22.15,32,2015-01-20
"4KG TRAY","TOMMY ATKINS,*,*,11,*",120,"8.00","32.00",15,15,2015-01-20
"4KG TRAY","TOMMY ATKINS,*,*,12,*",3900,"195.00","780.00",20,20,2015-01-20
"4KG TRAY","TOMMY ATKINS,*,*,14,*",600,"30.00","120.00",20,20,2015-01-20
"4KG TRAY","TOMMY ATKINS,*,*,7,*",27354,"991.00","3964.00",27.6,30,2015-01-20
"4KG TRAY","TOMMY ATKINS,*,*,8,*",41597,"1559.00","6236.00",26.68,32,2015-01-20
"4KG TRAY","TOMMY ATKINS,*,*,9,*",36230,"1219.00","4876.00",29.72,40,2015-01-20
"4KG TRAY","TOMMY ATKINS,*,L,*,*",121037,"4409.00","17636.00",27.45,40,2015-01-20
"4KG TRAY","TOMMY ATKINS,*,XL,*,*",16965,"636.00","2544.00",26.67,30,2015-01-20
"4KG TRAY","ZILL,*,L,*,*",200,"8.00","32.00",25,40,2015-01-20
