Container,ProductName,TotalValueSold,TotalQuantitySold,TotalKgSold,AveragePrice,HighestPrice,Date
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,48,*",2750,37,555,74.32,80,2014-11-14
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,72,*",49912,627,9405,79.6,80,2014-11-14
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,88,*",7410,93,1395,79.68,80,2014-11-14
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,40,*",6400,80,1200,80,80,2014-11-14
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,56,*",1200,15,225,80,80,2014-11-14
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,64,*",6400,80,1200,80,80,2014-11-14
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,64,*",21360,267,4005,80,80,2014-11-14
15KG CARTON TELESCOPIC,"MIDKNIGHT,CL 1,*,64,*",2250,28,420,80.36,90,2014-11-14
15KG CARTON OPEN TOP,"NAVEL,CL 1,*,40,*",3785,45,675,84.11,90,2014-11-14
15KG CARTON TELESCOPIC,"NAVEL,CL 1,*,48,*",1795,21,315,85.48,90,2014-11-14
15KG CARTON TELESCOPIC,"NAVEL,CL 1,*,56,*",90,1,15,90,90,2014-11-14
15KG CARTON TELESCOPIC,"NAVEL,CL 2,*,40,*",450,5,75,90,90,2014-11-14
6KG POCKET,"MIDKNIGHT,CL 2,S,*,*",554.4,154,924,3.6,3.6,2014-11-17
6KG POCKET,"VALENCIA,CL 2,S,*,*",24078,1614,9684,14.92,16,2014-11-17
6KG POCKET,"NAVEL,CL 2,L,*,*",11928,657,3942,18.16,20,2014-11-17
6KG POCKET,"VALENCIA,CL 2,M,*,*",4486,227,1362,19.76,24,2014-11-17
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,125,*",2500,50,750,50,50,2014-11-17
6KG POCKET,"VALENCIA,CL 2,L,*,*",10448,482,2892,21.68,24,2014-11-17
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,48,*",8200,146,2190,56.16,80,2014-11-17
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,105,*",56900,818,12270,69.56,70,2014-11-17
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,105,*",18430,264,3960,69.81,70,2014-11-17
15KG CARTON TELESCOPIC,"MIDKNIGHT,CL 1,*,105,*",70,1,15,70,70,2014-11-17
15KG CARTON TELESCOPIC,"NAVEL,CL 2,*,105,*",350,5,75,70,70,2014-11-17
15KG CARTON TELESCOPIC,"DELTA SEEDLESS,CL 1,*,88,*",23250,310,4650,75,75,2014-11-17
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,88,*",825,11,165,75,75,2014-11-17
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,48,*",6000,80,1200,75,75,2014-11-17
15KG CARTON TELESCOPIC,"MIDKNIGHT,CL 1,*,72,*",5570,71,1065,78.45,80,2014-11-17
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,72,*",46610,590,8850,79,80,2014-11-17
15KG CARTON TELESCOPIC,"MIDKNIGHT,CL 1,*,56,*",5990,75,1125,79.87,80,2014-11-17
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,56,*",5600,70,1050,80,80,2014-11-17
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,64,*",4160,52,780,80,80,2014-11-17
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,72,*",6400,80,1200,80,80,2014-11-17
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,40,*",6400,80,1200,80,80,2014-11-17
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,56,*",32800,410,6150,80,80,2014-11-17
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,88,*",62560,782,11730,80,80,2014-11-17
15KG CARTON TELESCOPIC,"NAVEL,CL 2,*,56,*",3975,47,705,84.57,90,2014-11-17
15KG CARTON TELESCOPIC,"NAVEL,CL 1,*,48,*",1020,12,180,85,85,2014-11-17
15KG CARTON TELESCOPIC,"NAVEL,CL 1,*,56,*",1445,17,255,85,85,2014-11-17
15KG CARTON TELESCOPIC,"NAVEL,CL 2,*,40,*",3150,35,525,90,90,2014-11-17
6KG POCKET,"VALENCIA,CL 2,S,*,*",9110,514,3084,17.72,22,2014-11-19
6KG POCKET,"NAVEL,CL 2,L,*,*",10026,541,3246,18.53,24,2014-11-19
6KG POCKET,"VALENCIA,CL 2,M,*,*",24789,1038,6228,23.88,26,2014-11-19
6KG POCKET,"VALENCIA,CL 2,L,*,*",2100,86,516,24.42,26,2014-11-19
6KG POCKET,"VALENCIA,CL 2,XL,*,*",3740,145,870,25.79,26,2014-11-19
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,105,*",5600,80,1200,70,70,2014-11-19
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,125,*",350,5,75,70,70,2014-11-19
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,105,*",35840,512,7680,70,70,2014-11-19
