"Container","ProductName","TotalValueSold","TotalQuantitySold","TotalKgSold","AveragePrice","HighestPrice","Date"
"500G PUNNET PACK BOX","PRIME SEEDLESS,CL 1,*,10,*",31655,"338.00","1690.00",93.65,120,2015-01-07
"500G PUNNET PACK BOX","RED GLOBE,CL 1,*,10,*",132090,"1454.00","7270.00",90.85,130,2015-01-07
"500G PUNNET PACK BOX","REGAL,CL 1,*,10,*",13120,"123.00","615.00",106.67,120,2015-01-07
"500G PUNNET PACK BOX","STARLIGHT,CL 1,*,10,*",10119,"115.00","575.00",87.99,99,2015-01-07
"500G PUNNET PACK BOX","SUGRA13,CL 1,*,10,*",25060,"244.00","1220.00",102.7,120,2015-01-07
"500G PUNNET PACK BOX","SUGRA16,CL 1,*,10,BLACK",1840,"23.00","115.00",80,80,2015-01-07
"500G PUNNET PACK BOX","SUGRAONE,CL 1,*,10,*",15270,"226.00","1130.00",67.57,110,2015-01-07
"500G PUNNET PACK BOX","THOMPSON SEEDLESS,CL 1,*,10,*",4240,"48.00","240.00",88.33,120,2015-01-07
"500G PUNNET PACK BOX","VICTORIA,CL 1,*,10,*",17705,"194.00","970.00",91.26,110,2015-01-07
"5KG JUMBLE CARTON","DAUPHINE,CL 2,*,*,*",116,"2.00","10.00",58,58,2015-01-07
"9KG JUMBLE CARTON","ALMERIA,CL 2,*,*,*",38080,"660.00","5940.00",57.7,100,2015-01-07
"9KG JUMBLE CARTON","DAN-BEN-HANNA,CL 2,*,*,*",210,"7.00","63.00",30,30,2015-01-07
"9KG JUMBLE CARTON","FLAME SEEDLESS,CL 2,*,*,*",5531,"131.00","1179.00",42.22,65,2015-01-07
"9KG JUMBLE CARTON","PRIME SEEDLESS,CL 2,*,*,*",12385,"390.00","3510.00",31.76,50,2015-01-07
"9KG JUMBLE CARTON","REGAL,CL 2,*,*,*",66662,"1227.00","11043.00",54.33,70,2015-01-07
"1.5KG TRAY","BLACK GEM,CL 1,*,*,*",17572,"1461.00","2191.50",12.03,20,2015-01-08
"1.5KG TRAY","CRIMSON SEEDLESS,CL 1,*,*,*",40374,"2523.00","3784.50",16,18,2015-01-08
"1.5KG TRAY","DAN-BEN-HANNA,CL 1,*,*,*",11862,"662.00","993.00",17.92,18,2015-01-08
"1.5KG TRAY","FLAME SEEDLESS,CL 1,*,*,*",13353,"909.00","1363.50",14.69,18,2015-01-08
"1.5KG TRAY","PRIME SEEDLESS,CL 1,*,*,*",5247,"338.00","507.00",15.52,18,2015-01-08
"1.5KG TRAY","RALLI,CL 1,*,*,*",9195,"682.00","1023.00",13.48,17,2015-01-08
"1.5KG TRAY","REGAL,CL 1,*,*,*",8978,"505.00","757.50",17.78,18,2015-01-08
"1.5KG TRAY","STARLIGHT,CL 1,*,*,*",5950,"385.00","577.50",15.45,18,2015-01-08
"1.5KG TRAY","SUGRA13,CL 1,*,*,*",8752,"547.00","820.50",16,16,2015-01-08
"1.5KG TRAY","THOMPSON SEEDLESS,CL 1,*,*,*",113891,"6458.00","9687.00",17.64,20,2015-01-08
"1.5KG TRAY","VICTORIA,CL 1,*,*,*",12835,"746.00","1119.00",17.21,18,2015-01-08
"4.5KG WRAP TRAY","BLACK GEM,CL 1,*,*,*",8610,"539.00","2425.50",15.97,90,2015-01-08
"4.5KG WRAP TRAY","CRIMSON SEEDLESS,*,*,*,*",10800,"180.00","810.00",60,60,2015-01-08
"4.5KG WRAP TRAY","DAN-BEN-HANNA,CL 1,*,*,*",1150,"15.00","67.50",76.67,80,2015-01-08
"4.5KG WRAP TRAY","EVANS DELIGHT,CL 1,*,*,*",4000,"49.00","220.50",81.63,90,2015-01-08
"4.5KG WRAP TRAY","FLAME SEEDLESS,CL 1,*,*,*",160,"2.00","9.00",80,80,2015-01-08
"4.5KG WRAP TRAY","MUSCAT DELIGHT,CL 1,*,*,*",1050,"11.00","49.50",95.45,100,2015-01-08
"4.5KG WRAP TRAY","PRIME SEEDLESS,CL 1,*,*,*",4810,"146.00","657.00",32.95,80,2015-01-08
"4.5KG WRAP TRAY","RALLI,CL 1,*,*,*",50740,"678.00","3051.00",74.84,85,2015-01-08
"4.5KG WRAP TRAY","RED GLOBE,CL 1,*,*,*",42100,"551.00","2479.50",76.41,90,2015-01-08
"4.5KG WRAP TRAY","REGAL,CL 1,*,*,*",775,"10.00","45.00",77.5,80,2015-01-08
"4.5KG WRAP TRAY","STARLIGHT,CL 1,*,*,*",2830,"34.00","153.00",83.24,90,2015-01-08
"4.5KG WRAP TRAY","SUGRA13,CL 1,*,*,*",16830,"229.00","1030.50",73.49,110,2015-01-08
"4.5KG WRAP TRAY","SUGRAONE,CL 1,*,*,*",113450,"1582.00","7119.00",71.71,80,2015-01-08
"4.5KG WRAP TRAY","VICTORIA,CL 1,*,*,*",6420,"83.00","373.50",77.35,80,2015-01-08
"4KG WRAP TRAY","PIROBELLA,CL 1,*,*,*",1520,"38.00","152.00",40,40,2015-01-08
"500G PUNNET PACK BOX","BLACK GEM,CL 1,*,10,*",3970,"43.00","215.00",92.33,100,2015-01-08
"500G PUNNET PACK BOX","CRIMSON SEEDLESS,CL 1,*,10,*",71960,"747.00","3735.00",96.33,120,2015-01-08
"500G PUNNET PACK BOX","DAN-BEN-HANNA,CL 1,*,10,*",600,"10.00","50.00",60,60,2015-01-08
"500G PUNNET PACK BOX","EARLY SWEET,CL 1,*,10,*",6380,"72.00","360.00",88.61,90,2015-01-08
"500G PUNNET PACK BOX","FLAME SEEDLESS,CL 1,*,10,*",6098,"66.00","330.00",92.39,120,2015-01-08
"500G PUNNET PACK BOX","FLAME/PRIME SEEDLESS,CL 1,*,10,*",100,"1.00","5.00",100,100,2015-01-08
"500G PUNNET PACK BOX","PRIME SEEDLESS,CL 1,*,10,*",36695,"420.00","2100.00",87.37,100,2015-01-08
"500G PUNNET PACK BOX","RED GLOBE,CL 1,*,10,*",48200,"504.00","2520.00",95.63,120,2015-01-08
"500G PUNNET PACK BOX","REGAL,CL 1,*,10,*",22220,"220.00","1100.00",101,110,2015-01-08
"500G PUNNET PACK BOX","STARLIGHT,CL 1,*,10,*",9878,"112.00","560.00",88.2,99,2015-01-08
"500G PUNNET PACK BOX","SUGRA13,CL 1,*,10,*",22685,"239.00","1195.00",94.92,120,2015-01-08
"500G PUNNET PACK BOX","SUGRAONE,CL 1,*,10,*",47030,"591.00","2955.00",79.58,110,2015-01-08
"500G PUNNET PACK BOX","VICTORIA,CL 1,*,10,*",8280,"91.00","455.00",90.99,100,2015-01-08
"5KG JUMBLE CARTON","DAUPHINE,CL 2,*,*,*",670,"67.00","335.00",10,10,2015-01-08
"9KG CARTON BOX","PRIME SEEDLESS,CL 1,*,*,*",2620,"20.00","180.00",131,140,2015-01-08
"9KG JUMBLE CARTON","ALMERIA,CL 2,*,*,*",43020,"708.00","6372.00",60.76,75,2015-01-08
"9KG JUMBLE CARTON","BLACK EMPEROR,CL 2,*,*,*",1020,"34.00","306.00",30,30,2015-01-08
"9KG JUMBLE CARTON","FLAME SEEDLESS,CL 2,*,*,*",29874,"941.00","8469.00",31.75,65,2015-01-08
"9KG JUMBLE CARTON","REGAL,CL 2,*,*,*",8596,"168.00","1512.00",51.17,52,2015-01-08
"1.5KG TRAY","BLACK GEM,CL 1,*,*,*",5040,"504.00","756.00",10,10,2015-01-13
"1.5KG TRAY","CRIMSON SEEDLESS,CL 1,*,*,*",150,"10.00","15.00",15,15,2015-01-13
"1.5KG TRAY","DAN-BEN-HANNA,CL 1,*,*,*",75,"5.00","7.50",15,15,2015-01-13
"1.5KG TRAY","EARLY SWEET,CL 1,*,*,*",15120,"1008.00","1512.00",15,15,2015-01-13
"1.5KG TRAY","FLAME SEEDLESS,CL 1,*,*,*",1913,"560.00","840.00",3.42,15,2015-01-13
"1.5KG TRAY","PRIME SEEDLESS,CL 1,*,*,*",15522,"1061.00","1591.50",14.63,16,2015-01-13
"1.5KG TRAY","RED GLOBE,CL 1,*,*,*",3850,"197.00","295.50",19.54,20,2015-01-13
"1.5KG TRAY","STARLIGHT,CL 1,*,*,*",10562,"655.00","982.50",16.13,90,2015-01-13
"1.5KG TRAY","SUGRA13,CL 1,*,*,*",15316,"1273.00","1909.50",12.03,18,2015-01-13
"1.5KG TRAY","SUGRAONE,CL 1,*,*,*",2360,"134.00","201.00",17.61,18,2015-01-13
"1.5KG TRAY","THOMPSON SEEDLESS,CL 1,*,*,*",36655,"2273.00","3409.50",16.13,18,2015-01-13
"1.5KG TRAY","VICTORIA,CL 1,*,*,*",4119,"343.00","514.50",12.01,15,2015-01-13
"4.5KG WRAP TRAY","AFRICAN DELIGHT,CL 1,*,*,*",3400,"34.00","153.00",100,100,2015-01-13
"4.5KG WRAP TRAY","BLACK GEM,CL 1,*,*,*",3850,"338.00","1521.00",11.39,90,2015-01-13
"4.5KG WRAP TRAY","CRIMSON SEEDLESS,*,*,*,*",240,"3.00","13.50",80,80,2015-01-13
"4.5KG WRAP TRAY","DAN-BEN-HANNA,CL 1,*,*,*",7740,"215.00","967.50",36,60,2015-01-13
"4.5KG WRAP TRAY","FLAME SEEDLESS,CL 1,*,*,*",3200,"64.00","288.00",50,50,2015-01-13
"4.5KG WRAP TRAY","MUSCAT DELIGHT,CL 1,*,*,*",8360,"76.00","342.00",110,120,2015-01-13
"4.5KG WRAP TRAY","PRIME SEEDLESS,CL 1,*,*,*",420,"31.00","139.50",13.55,60,2015-01-13
"4.5KG WRAP TRAY","RALLI,CL 1,*,*,*",80,"1.00","4.50",80,80,2015-01-13
"4.5KG WRAP TRAY","RED GLOBE,CL 1,*,*,*",22375,"424.00","1908.00",52.77,85,2015-01-13
"4.5KG WRAP TRAY","STARLIGHT,CL 1,*,*,*",4510,"52.00","234.00",86.73,90,2015-01-13
"4.5KG WRAP TRAY","SUGRA13,CL 1,*,*,*",7440,"93.00","418.50",80,80,2015-01-13
"4.5KG WRAP TRAY","SUGRA16,CL 1,*,*,BLACK",70,"1.00","4.50",70,70,2015-01-13
"4.5KG WRAP TRAY","SUGRAONE,CL 1,*,*,*",7980,"111.00","499.50",71.89,80,2015-01-13
"4.5KG WRAP TRAY","VICTORIA,CL 1,*,*,*",1610,"25.00","112.50",64.4,70,2015-01-13
"500G PUNNET PACK BOX","CRIMSON SEEDLESS,CL 1,*,10,*",37090,"410.00","2050.00",90.46,95,2015-01-13
"500G PUNNET PACK BOX","DAN-BEN-HANNA,CL 1,*,10,*",2100,"30.00","150.00",70,70,2015-01-13
"500G PUNNET PACK BOX","FLAME SEEDLESS,CL 1,*,10,*",380,"4.00","20.00",95,95,2015-01-13
"500G PUNNET PACK BOX","FLAME/PRIME SEEDLESS,CL 1,*,10,*",690,"8.00","40.00",86.25,90,2015-01-13
"500G PUNNET PACK BOX","MUSCAT DELIGHT,CL 1,*,10,*",260,"2.00","10.00",130,130,2015-01-13
"500G PUNNET PACK BOX","PRIME SEEDLESS,CL 1,*,10,*",11110,"133.00","665.00",83.53,90,2015-01-13
"500G PUNNET PACK BOX","RED GLOBE,CL 1,*,10,*",34850,"372.00","1860.00",93.68,132,2015-01-13
"500G PUNNET PACK BOX","SUGRA13,CL 1,*,10,*",1140,"12.00","60.00",95,100,2015-01-13
"500G PUNNET PACK BOX","SUGRAONE,CL 1,*,10,*",5390,"68.00","340.00",79.26,100,2015-01-13
"500G PUNNET PACK BOX","THOMPSON SEEDLESS,CL 1,*,10,*",2610,"29.00","145.00",90,90,2015-01-13
"500G PUNNET PACK BOX","VICTORIA,CL 1,*,10,*",450,"5.00","25.00",90,90,2015-01-13
"9KG CARTON BOX","PRIME SEEDLESS,CL 1,*,*,*",2000,"20.00","180.00",100,100,2015-01-13
