"UnitMass","ProductName","tvaluesold","tquantitysold","tkgsold","avgprice","highestprice","date"
"18.50KG CARTON","GOLDEN DELICIOUS,CL 1,150",560,8,148,70,140,"2014-11-24"
"18.50KG CARTON","CRIPPS PINK,CL 1,110",19370,90,1665,215.22,220,"2014-11-24"
"18.50KG CARTON","GOLDEN DELICIOUS,CL 1,110",18320,95,1757.5,192.84,210,"2014-11-24"
"18.50KG CARTON","GOLDEN DELICIOUS,CL 1,80",20190,98,1813,206.02,230,"2014-11-24"
"18.50KG CARTON","BRAEBURN,CL 1,110",180,1,18.5,180,180,"2014-11-25"
"18.50KG CARTON","BRAEBURN,CL 1,135",180,1,18.5,180,180,"2014-11-25"
"18.50KG CARTON","GOLDEN DELICIOUS,CL 1,198",140,1,18.5,140,140,"2014-11-25"
"18.50KG CARTON","TOPRED,CL 1,198",240,1,18.5,240,240,"2014-11-25"
"18.50KG CARTON","GRANNY SMITH,CL 1,150",1400,10,185,140,140,"2014-11-25"
"18.50KG CARTON","TOPRED,CL 1,60",2200,10,185,220,220,"2014-11-25"
"18.50KG CARTON","CRIPPS RED,CL 1,110",2460,13,240.5,189.23,200,"2014-11-25"
"18.50KG CARTON","GRANNY SMITH,CL 1,90",27040,131,2423.5,206.41,230,"2014-11-25"
"18.50KG CARTON","GRANNY SMITH,CL 1,100",25915,140,2590,185.11,220,"2014-11-25"
"18.50KG CARTON","STARKING,CL 1,70",3100,15,277.5,206.67,240,"2014-11-25"
"18.50KG CARTON","TOPRED,CL 1,70",2960,15,277.5,197.33,240,"2014-11-25"
"18.50KG CARTON","GOLDEN DELICIOUS,CL 1,90",32250,161,2978.5,200.31,230,"2014-11-25"
"18.50KG CARTON","TOPRED,CL 1,100",35100,164,3034,214.02,240,"2014-11-25"
"18.50KG CARTON","GRANNY SMITH,CL 1,120",2730,17,314.5,160.59,190,"2014-11-25"
"18.50KG CARTON","GOLDEN DELICIOUS,CL 1,135",32790,192,3552,170.78,180,"2014-11-25"
"18.50KG CARTON","BRAEBURN,CL 1,90",400,2,37,200,200,"2014-11-25"
"18.50KG CARTON","CRIPPS RED,CL 1,90",480,2,37,240,240,"2014-11-25"
"18.50KG CARTON","GALA,CL 1,120",120,2,37,60,60,"2014-11-25"
"18.50KG CARTON","TOPRED,CL 1,135",360,2,37,180,180,"2014-11-25"
"18.50KG CARTON","BRAEBURN,CL 1,120",4500,25,462.5,180,180,"2014-11-25"
"18.50KG CARTON","FUJI,CL 1,90",5480,27,499.5,202.96,230,"2014-11-25"
"18.50KG CARTON","GOLDEN DELICIOUS,CL 1,80",5650,27,499.5,209.26,230,"2014-11-25"
"18.50KG CARTON","CRIPPS PINK,CL 1,120",565,3,55.5,188.33,245,"2014-11-25"
"18.50KG CARTON","CRIPPS RED,CL 1,80",600,3,55.5,200,200,"2014-11-25"
"18.50KG CARTON","CRIPPS PINK,CL 1,90",6360,31,573.5,205.16,220,"2014-11-25"
"18.50KG CARTON","GOLDEN DELICIOUS,CL 1,100",64706,320,5920,202.21,220,"2014-11-25"
"18.50KG CARTON","GRANNY SMITH,CL 1,110",62906,322,5957,195.36,216,"2014-11-25"
"18.50KG CARTON","TOPRED,CL 1,110",6860,33,610.5,207.88,220,"2014-11-25"
