UnitMass,ProductName,tvaluesold,tquantitysold,tkgsold,avgprice,highestprice,date
18.50KG CARTON,"GRANNY SMITH,CL 1,150",9810,61,1128.5,160.82,170,12/11/14
18.50KG CARTON,"CRIPPS PINK,CL 1,80",1390,7,129.5,198.57,220,12/11/14
18.50KG CARTON,"FUJI,CL 1,80",1400,7,129.5,200,200,12/11/14
18.50KG CARTON,"TOPRED,CL 1,70",10760,72,1332,149.44,240,12/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,110",17350,88,1628,197.16,210,12/11/14
18.50KG CARTON,"TOPRED,CL 1,150",1630,9,166.5,181.11,190,12/11/14
18.50KG CARTON,"CRIPPS PINK,CL 1,110",210,1,18.5,210,210,13/11/14
18.50KG CARTON,"CRIPPS RED,CL 1,135",80,1,18.5,80,80,13/11/14
18.50KG CARTON,"GRANNY SMITH,CL 1,90",220,1,18.5,220,220,13/11/14
18.50KG CARTON,"STARKING,CL 1,150",150,1,18.5,150,150,13/11/14
18.50KG CARTON,"GRANNY SMITH,CL 1,70",2060,10,185,206,220,13/11/14
18.50KG CARTON,"GRANNY SMITH,CL 1,100",20390,102,1887,199.9,220,13/11/14
18.50KG CARTON,"STARKING,CL 1,110",20370,105,1942.5,194,210,13/11/14
18.50KG CARTON,"TOPRED,CL 1,90",15060,107,1979.5,140.75,240,13/11/14
18.50KG CARTON,"CRIPPS RED,CL 1,90",880,11,203.5,80,80,13/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,198",990,11,203.5,90,90,13/11/14
18.50KG CARTON,"CRIPPS PINK,CL 1,150",19600,112,2072,175,175,13/11/14
18.50KG CARTON,"STARKING,CL 1,100",22120,113,2090.5,195.75,200,13/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,100",23660,116,2146,203.97,230,13/11/14
18.50KG CARTON,"STARKING,CL 1,70",2370,12,222,197.5,200,13/11/14
18.50KG CARTON,"STARKING,CL 1,80",2440,12,222,203.33,220,13/11/14
18.50KG CARTON,"STARKING,CL 1,90",20600,125,2312.5,164.8,220,13/11/14
18.50KG CARTON,"CRIPPS PINK,CL 1,90",3260,16,296,203.75,220,13/11/14
18.50KG CARTON,"CRIPPS RED,CL 1,80",1280,16,296,80,80,13/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,110",31420,160,2960,196.38,220,13/11/14
18.50KG CARTON,"FUJI,CL 1,120",33600,168,3108,200,200,13/11/14
18.50KG CARTON,"TOPRED,CL 1,135",33690,177,3274.5,190.34,200,13/11/14
18.50KG CARTON,"TOPRED,CL 1,100",4030,18,333,223.89,240,13/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,216",230,2,37,115,150,13/11/14
18.50KG CARTON,"TOPRED,CL 1,80",5050,22,407,229.55,240,13/11/14
18.50KG CARTON,"FUJI,CL 1,70",51520,224,4144,230,230,13/11/14
18.50KG CARTON,"GALA,CL 1,150",1610,23,425.5,70,70,13/11/14
18.50KG CARTON,"TOPRED,CL 1,110",52470,243,4495.5,215.93,230,13/11/14
18.50KG CARTON,"FUJI,CL 1,80",46480,259,4791.5,179.46,240,13/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,180",2600,26,481,100,100,13/11/14
18.50KG CARTON,"FUJI,CL 1,100",570,3,55.5,190,190,13/11/14
18.50KG CARTON,"TOPRED,CL 1,180",270,3,55.5,90,90,13/11/14
18.50KG CARTON,"TOPRED,CL 1,64",300,3,55.5,100,100,13/11/14
18.50KG CARTON,"GRANNY SMITH,CL 1,150",4550,30,555,151.67,170,13/11/14
18.50KG CARTON,"TOPRED,CL 1,70",6650,30,555,221.67,250,13/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,120",63900,378,6993,169.05,190,13/11/14
